Name,id,Country,top_pit_prov,top_pit,pit_300k_state,pit_300k_fed,pit_300k,GDP,Exports,Imports,Exp_US_CDN_Trade_2022,Imp_US_CDN_Trade_2022,gdp_2017,gdp_2018,gdp_2019,gdp_2022,gdp_2023,gdp_2024,pop_2017,pop_2018,pop_2019,pop_2020,pop_2022,pop_2023,pop_2024,pop_2025,cadusd_2022,cadusd_2017,cadusd_2018,ppp_2016,ppp_2018,ppp_2019,ppp_2022,ppp_2023,ppp_2024,medianHH_2016,fed_rev_2017,fed_rev_2019,fed_exp_2017,fed_exp_2018,fed_exp_2019,fed_rev_2023,fed_exp_2023,fed_rev_2024,fed_exp_2024,int_trade_share_2019,covid_cases,gdp_growth_2020
Michigan,US-MI,USA,0.0425,0.4125,0.0425,0.35,0.3925,487239,23712.09183,48259.99028,54918.70444,33736.74467,501914.9,521803.4,536888.3,622563,676030.8,702466.9,9976752,9987286,9984795,9966555,10034113,10062124,10099962,10127884,1,1,1,1,1,1,1,1,1,51584,83711,81583.48,108359,,,106515,152742,108565.033,119415.507,,48.62857143,-5.4
Minnesota,US-MN,USA,0.0985,0.4685,0.0985,0.35,0.4485,335147,4059.802755,7490.11232,22712.11741,12233.02879,353416.4,371929.7,383777,448032,483222,507687.8,5569283,5608762,5640053,5657342,5717184,5752998,5797405,5830405,1,1,1,1,1,1,1,1,1,64188,59051,102642.589,64402,,,76385,81029,122269.773,211559.6861,,29.55714286,-3.7
Mississippi,US-MS,USA,0.047,0.417,0.047,0.35,0.397,107680,2185.698049,908.718025,2535.958847,1946.322947,109431.1,113578.5,115971.3,139976,151511.9,158192.4,2990674,2982879,2978227,2966786,2940057,2942470,2950172,2954160,1,1,1,1,1,1,1,1,1,40910,17224,11273.202,37755,,,21934,56410,15189.91,37121.49276,,8.042857143,-2.8
Missouri,US-MO,USA,0.048,0.418,0.048,0.35,0.398,300891,5233.956463,2956.380003,9708.13754,7280.602762,305471.4,317949.1,328400.6,396890,428887.3,448713.7,6111382,6125986,6140475,6151548,6177957,6205956,6243544,6270541,1,1,1,1,1,1,1,1,1,50642,48127,64149.074,72271,,,63540,107931,93231.884,92399.25811,,10.55714286,-3.6
Montana,US-MT,USA,0.059,0.429,0.059,0.35,0.409,45994,634.888265,2877.021221,9714.439826,989.266199,47946.9,50692.3,52934.6,67072,74690.3,78441,1053862,1061818,1070123,1080577,1122867,1130612,1137557,1144694,1,1,1,1,1,1,1,1,1,49924,8233,6356.727,12233,,,13297,18873,10688.526,14486.91048,,12.14285714,-3
Nebraska,US-NE,USA,0.0584,0.4284,0.0584,0.35,0.4084,115345,1217.682866,724.211926,1916.172394,2350.538493,120949.7,124705.4,130011.8,164934,183780.9,189242.7,1916998,1925512,1932571,1937552,1967923,1988172,2005591,2018006,1,1,1,1,1,1,1,1,1,55474,18051,25551.082,17736,,,24103,28778,43963.441,23297.15179,,13.54285714,-2.1
Nevada,US-NV,USA,0,0.37,0,0.35,0.35,147475,1378.338975,905.123753,2187.02724,1582.761933,158502.8,169179.6,178199.4,222939,253443.3,269010.5,2972097,3030725,3090771,3138259,3177772,3211077,3253543,3282188,1,1,1,1,1,1,1,1,1,53320,25252,23769.524,28671,,,41462,48277,38034.564,31347.37247,,12.85714286,-4.6
New Hampshire,US-NH,USA,0,0.37,0,0.35,0.35,77855,559.469823,4274.329282,2933.947247,876.704561,80838.4,84584.1,87634.1,105025,114427.8,119336.6,1350395,1355064,1360783,1366275,1395231,1401530,1408518,1415342,1,1,1,1,1,1,1,1,1,70813,15307,12208.656,14993,,,21981,22013,17032.034,16191.92687,,22.58571429,-4.7
New Jersey,US-NJ,USA,0.014,0.384,0.014,0.35,0.364,581122,6346.982737,7332.291218,12211.78687,6995.538734,590696.6,612979.3,634783.6,754948,806894,846000.4,8888147,8891730,8891258,8882371,9261699,9395315,9506354,9548215,1,1,1,1,1,1,1,1,1,73242,119009,140258.435,97682,,,153777,134912,183225.841,88343.61072,,25.95714286,-4.1
New Mexico,US-NM,USA,0.059,0.429,0.059,0.35,0.409,93297,138.726356,259.74378,609.534774,156.939706,94456.7,100079.9,105143.4,125541,138526,147084.9,2092844,2093754,2099634,2106319,2113344,2119349,2126774,2125498,1,1,1,1,1,1,1,1,1,45710,13520,9270.398,31669,,,17975,52292,12851.255,40199.86707,,9.414285714,-3.1
New York,US-NY,USA,0.109,0.479,0.0685,0.35,0.4185,1487998,15029.79622,17615.87746,28469.91268,27031.75499,1608890.2,1705010.2,1772260.7,2048403,2182549,2322138.9,19593849,19544098,19463131,19336776,19677151,19786543,20001419,20002427,1,1,1,1,1,1,1,1,1,61311,256183,304992.923,220622,,,318666,331966,384447.3,253125.7926,,20.12857143,-5.9
